model,vendor,access_type,params_b,segment,imagination_gpt,imagination_qwen,imagination_avg,entity_gpt,entity_qwen,entity_avg,text_rendering_gpt,text_rendering_qwen,text_rendering_avg,style_gpt,style_qwen,style_avg,affection_gpt,affection_qwen,affection_avg,composition_gpt,composition_qwen,composition_avg,long_text_gpt,long_text_qwen,long_text_avg,overall_gpt,overall_qwen,overall_avg,cost_usd,quality_per_usd,pareto_imagination,pareto_entity,pareto_text_rendering,pareto_style,pareto_affection,pareto_composition,pareto_long_text,pareto_overall
SD1.5,Runway/CompVis,open,1.0,Cheap,36.4,32.2,34.3,47.5,56.9,52.2,20.6,17.8,19.2,55.3,59.1,57.2,61.0,63.8,62.4,56.1,55.4,55.75,32.9,37.0,34.95,44.2,46.0,45.1,0.0023,19609.0,True,True,True,True,True,True,True,True
SDXL,Stability,open,3.5,Cheap,58.2,44.3,51.25,70.0,68.0,69.0,25.4,27.9,26.65,73.9,72.1,73.0,78.0,72.6,75.3,75.4,70.0,72.7,41.9,44.3,43.1,60.4,57.0,58.7,0.0046,12761.0,False,True,False,True,True,False,False,False
SD3.5-Large,Stability,open,8.0,Mid,72.3,55.0,63.65,74.3,74.8,74.55,58.9,63.3,61.1,80.7,77.7,79.2,86.2,79.7,82.95,85.9,84.3,85.1,58.0,59.0,58.5,73.7,70.6,72.15,0.035,2061.0,True,True,True,True,False,True,False,True
FLUX.1-schnell,Black Forest Labs,open,12.0,Cheap,64.8,49.2,57.0,56.5,60.8,58.65,50.2,61.2,55.7,69.4,70.9,70.15,72.7,70.6,71.65,76.3,78.6,77.45,59.6,61.5,60.55,64.2,64.7,64.45,0.003,21483.0,True,True,True,True,True,True,True,True
FLUX.1-dev,Black Forest Labs,open,12.0,Mid,71.1,54.2,62.65,71.0,66.2,68.6,56.3,62.6,59.45,76.4,73.4,74.9,89.7,79.4,84.55,86.8,81.6,84.2,64.6,62.1,63.35,73.7,68.5,71.1,0.03,2370.0,True,False,True,True,True,True,True,True
Qwen-Image,Alibaba,open,20.0,Premium,79.6,56.5,68.05,76.3,72.0,74.15,61.6,64.5,63.05,86.6,85.5,86.05,90.4,80.1,85.25,90.3,86.7,88.5,74.5,73.8,74.15,79.9,74.1,77.0,0.04,1925.0,False,False,False,False,False,False,False,False
DALL-E 2,OpenAI,closed,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,False,False,False,False,False,False,False,False
GPT-Image-1,OpenAI,closed,,Premium,86.4,66.6,76.5,88.2,84.1,86.15,74.5,76.8,75.65,93.1,87.5,90.3,90.8,84.0,87.4,92.8,88.5,90.65,78.3,77.4,77.85,86.3,80.7,83.5,0.167,500.0,True,True,True,True,False,True,False,True
Gemini2.5-Flash-Image,Google,closed,,Premium,88.6,61.4,75.0,84.2,81.3,82.75,69.7,78.5,74.1,90.7,88.6,89.65,92.1,84.5,88.3,90.5,89.7,90.1,81.1,78.4,79.75,85.3,80.4,82.85,0.039,2124.0,True,True,True,True,True,True,True,True
